mcn,y,x,location,address
新片场短视频,40.042355,116.390112,"(40.042355,116.390112)",北京新片场传媒股份有限公司
清藤文化,39.919396,116.575235,"(39.919396,116.575235)",北京靑藤文化股份有限公司
蜂群文化,22.546584,114.000743,"(22.546584,114.000743)",深圳蜂群文创发展有限公司
橘子娱乐,39.918806,116.545607,"(39.918806,116.545607)",北京橘子文化传媒有限公司
如涵,30.249026,120.217628,"(30.249026,120.217628)",杭州如涵文化传播有限公司
古麦克-禾,36.280287,120.297362,"(36.280287,120.297362)",青岛古麦耑禾科技有限公司
薇龙文化,31.048289,31.048289,"(31.048289,121.28018)",上海薇龙文化传播有限公司
飞博共创,31.399369,121.247123,"(31.399369,121.247123)",厦门飞博共创网络科技股份有限公司
无忧传媒,39.038882,117.248369,"(39.038882,117.248369)",天津无忧文化传媒有限公司
老司机,39.732256,115.966092,"(39.732256,115.966092)",北京锋巢信息技术有限公司
头条易,39.919691,116.467634,"(39.919691,116.467634)",北京头条易科技符限公司
华星璀璨,30.672852,104.126857,"(30.672852,104.126857)",成都华星璀璨娱乐有限公司
微念,30.311401,120.374401,"(30.311401,120.374401)",杭州微念科技冇限公司
美ONE,31.249235,121.436234,"(31.249235,121.436234)",美腕（上海）网络科技有限公司
豚首互娱,30.661494,104.081529,"(30.661494,104.081529)",成都豚首红人文化传媒有限公司
必客传媒,23.138769,113.27141,"(23.138769,113.27141)",广州必客传媒广告有限公司
中广天择传媒,28.184692,112.98688,"(28.184692,112.98688)",中广天择传媒股份有限公司
二咖传媒,39.897995,116.585312,"(39.897995,116.585312)",北京二咖传媒文化有限责任公司
Only Lady,39.929872,116.396884,"(39.929872,116.396884)",北京时尚锋迅信息技术荷限公司
小题影视,24.494727,118.18753,"(24.494727,118.18753)",厦门小题影视有限公司
自娱自乐,24.519387,118.10273,"(24.519387,118.10273)",厦门白娱自乐文化传媒冇限公司
门牙视频,31.303215,121.309393,"(31.303215,121.309393)",上海瞬视信息科技有限公司
papitube,34.21403,117.290573,"(34.21403,117.290573)",徐州自由自在网络科技有限公司
思空,22.499879,113.923453,"(22.499879,113.923453)",深圳前海思空文化传播有限公司
鼓山文化,40.136183,116.569107,"(40.136183,116.569107)",北京鼓山文化有限公司              
小象互娱,22.540809,113.949684,"(22.540809,113.949684)",深圳市小象互娱文化娱乐苻限公司
瘾食文化,30.661173,104.086649,"(30.661173,104.086649)",成都瘾食文化传媒有限公司                     
川上传媒,23.082086,113.285046,"(23.082086,113.285046 )",广州川上文化传媒有限公司            
缇苏,30.267587,120.167503,"(30.267587,120.167503)",杭州缇苏文化传播冇限公司              
